ID   type	latitude	longitude       D	P serviceTime earliestStartTimeToService latestStartTimeToService
48	d	39750124	30485116	0	0	0	0	7000
123	c	39747098	30475236	11	0	120	338	6399
124	c	39747138	30471867	10	0	120	469	6093
73	c	39747617	30474902	19	0	180	624	6650
74	c	39747131	30474621	7	0	120	313	5969
75	c	39747236	30473853	11	0	120	223	6085
76	c	39747376	30473919	5	0	120	230	6431
77	c	39747091	30474708	18	0	120	740	6117
78	c	39747094	30474492	12	0	120	146	6560
79	c	39747237	30473743	8	0	120	53	6644
80	c	39747092	30474594	18	0	120	138	6035
81	c	39747091	30474708	12	0	240	642	6601
82	c	39747101	30476045	10	0	120	65	6404
1	c	39752498	30490950	10	0	120	536	6880
115	c	39752371	30490191	8	0	180	499	6968
125	c	39752357	30493098	11	0	120	396	6603
2	c	39751972	30492308	10	0	120	825	6980
25	c	39752493	30488382	11	0	120	409	6425
3	c	39752214	30489639	8	0	120	890	6311
32	c	39752539	30488116	19	0	180	526	6741
35	c	39752418	30485774	14	0	120	330	5922
39	c	39752233	30483391	5	0	120	160	6915
4	c	39751816	30492367	15	0	120	432	6149
42B	c	39752379	30481190	11	0	120	826	6045
43C	c	39752207	30479961	8	0	120	336	6852
117	c	39749351	30491168	20	0	120	520	6024
121	c	39749195	30474898	8	0	100	19	5963
122	c	39749195	30476336	9	0	100	827	5853
16	c	39749308	30491449	13	0	120	311	6541
17	c	39749178	30489155	9	0	180	54	6087
18	c	39748798	30488982	11	0	120	146	5827
20	c	39749416	30489487	19	0	180	63	6449
21	c	39749471	30489002	20	0	180	148	6959
22E	c	39749475	30489244	16	0	180	155	6908
22B	c	39749472	30489346	9	0	180	706	6299
22C	c	39749469	30489109	7	0	180	633	6579
51	c	39749598	30481872	6	0	120	684	5983
52	c	39748937	30480167	16	0	120	854	6797
56	c	39749427	30476711	17	0	180	459	6815
60B/1	c	39749234	30474840	9	0	180	769	6950
60B/2	c	39749234	30474840	9	0	240	709	5826
60A/1	c	39749362	30474844	0	18	180	12	6735
60A/2	c	39749362	30474844	0	15	240	657	5901
61B	c	39749062	30476333	0	11	180	884	6609
61A/1	c	39749131	30476333	0	10	180	267	5944
61A/2	c	39749131	30476333	0	11	240	428	6768
118	c	39748484	30489481	0	6	120	235	6900
19	c	39748356	30488971	0	16	120	627	6768
62	c	39748424	30474837	0	11	120	113	6077
63	c	39748436	30474896	0	18	180	831	6580
64	c	39748436	30476328	0	10	120	600	6112
65	c	39748201	30476327	0	8	120	543	6753
66	c	39748210	30474900	0	17	180	610	6652
67	c	39748182	30474837	0	20	120	142	6626
68	c	39747973	30474841	0	19	120	371	6329
69	c	39747988	30474900	0	17	180	227	6336
70	c	39747980	30476323	0	8	120	591	6171
71	c	39747743	30476326	0	17	120	644	6160
72	c	39747793	30474899	0	20	180	239	6713
88	c	39743705	30469487	0	8	240	186	6024
11	c	39751078	30491364	0	20	120	74	6515
12	c	39751132	30491299	0	11	120	571	6523
33	c	39751610	30487475	0	14	180	21	5969
36	c	39751436	30485759	0	15	180	654	5907
37B	c	39751355	30484827	0	15	180	73	6477
37A	c	39751335	30484563	0	18	180	648	6162
40	c	39751745	30482277	0	14	120	193	6146
41	c	39751122	30481994	0	14	180	895	6519
42C	c	39751074	30480695	0	5	240	217	6159
42A	c	39751097	30481668	0	11	240	572	6137
43A	c	39751072	30479930	0	10	180	616	6839
43B	c	39751072	30479666	0	14	180	70	6908
44	c	39751059	30477202	0	7	120	40	6664
46	c	39751358	30485299	0	19	180	518	6160
47	c	39751337	30485070	0	15	180	732	6722
49	c	39751162	30483036	0	10	120	605	5899
55	c	39751013	30476982	0	9	120	411	6697
6	c	39751267	30489180	0	15	180	510	6039
7	c	39751035	30489245	0	5	120	218	6783
8	c	39751388	30493135	0	8	120	554	6557
9	c	39751299	30491815	0	13	120	340	6691
cs1	cs	39744075	30469333	0	0	0	0	7000
cs2	cs	39748305	30477105	0	0	0	0	7000
cs3	cs	39746605	30474623	0	0	0	0	7000
cs4	cs	39753933	30484572	0	0	0	0	7000
cs5	cs	39751670	30480422	0	0	0	0	7000
cs6	cs	39751182	30487697	0	0	0	0	7000
cs7	cs	39752908	30489350	0	0	0	0	7000
cs8	cs	39750889	30492715	0	0	0	0	7000
cs9	cs	39750132	30474637	0	0	0	0	7000
cs10	cs	39749569	30482477	0	0	0	0	7000

V Average velocity of the EV /12.5 m/s (45 km/h)/
C Vehicle load capacity /350 kg/
Q Vehicle battery capacity /1 kWH (3000 kWsn)/
h(r) Energy consumption rate /1.0/
g Battery recharging rate /0.18/
