ID   type	latitude	longitude       D	P serviceTime earliestStartTimeToService latestStartTimeToService
48	d	39750124	30485116	0	0	0	0	5000
120	c	39750087	30485560	20	0	120	653	739
15	c	39750023	30491363	10	0	120	762	841
152	c	39750142	30481110	17	0	180	785	867
153	c	39750033	30481107	11	0	180	1155	1226
50	c	39749712	30483948	7	0	120	586	634
51	c	39749598	30481872	6	0	120	999	1079
57	c	39749750	30476333	6	0	180	713	761
58/1	c	39749819	30476332	18	0	180	445	506
58/2	c	39749819	30476332	17	0	240	689	768
1	c	39752498	30490950	10	0	120	286	367
115	c	39752371	30490191	8	0	180	1478	1564
125	c	39752357	30493098	11	0	120	521	587
2	c	39751972	30492308	10	0	120	861	905
25	c	39752493	30488382	11	0	120	124	184
3	c	39752214	30489639	8	0	120	1328	1413
32	c	39752539	30488116	19	0	180	334	391
35	c	39752418	30485774	14	0	120	1313	1374
39	c	39752233	30483391	5	0	120	764	840
4	c	39751816	30492367	15	0	120	953	1022
42B	c	39752379	30481190	11	0	120	752	823
54	c	39750416	30478088	0	8	120	407	479
42A	c	39751097	30481668	0	11	240	257	303
114	c	39753050	30492420	0	7	120	1396	1468
62	c	39748424	30474837	0	11	120	1183	1262
36	c	39751436	30485759	0	15	180	1567	1647
49	c	39751162	30483036	0	10	120	276	320
6	c	39751267	30489180	0	15	180	294	373
55	c	39751013	30476982	0	9	120	1407	1483
69	c	39747988	30474900	0	17	180	893	949
42C	c	39751074	30480695	0	5	240	232	283
116	c	39753847	30488222	0	15	100	1382	1429
76	c	39747376	30473919	0	5	120	1143	1227
11	c	39751078	30491364	0	20	120	891	977
61B	c	39749062	30476333	0	11	180	1577	1639
9	c	39751299	30491815	0	13	120	693	746
83	c	39746378	30476496	0	11	120	395	440
117	c	39749351	30491168	0	20	120	775	827
86	c	39746245	30476286	0	17	120	829	887
30	c	39753104	30484268	0	5	120	296	350
17	c	39749178	30489155	0	9	180	1649	1731
cs1	cs	39744075	30469333	0	0	0	0	5000
cs2	cs	39748305	30477105	0	0	0	0	5000
cs3	cs	39746605	30474623	0	0	0	0	5000
cs4	cs	39753933	30484572	0	0	0	0	5000
cs5	cs	39751670	30480422	0	0	0	0	5000
cs6	cs	39751182	30487697	0	0	0	0	5000
cs7	cs	39752908	30489350	0	0	0	0	5000
cs8	cs	39750889	30492715	0	0	0	0	5000
cs9	cs	39750132	30474637	0	0	0	0	5000
cs10	cs	39749569	30482477	0	0	0	0	5000

V Average velocity of the EV /12.5 m/s (45 km/h)/
C Vehicle load capacity /350 kg/
Q Vehicle battery capacity /1 kWH (3000 kWsn)/
h(r) Energy consumption rate /1.0/
g Battery recharging rate /0.18/
