instance,bike_id,event,from_id,to_id,node_type,lat,lon,depart_time_min,arrive_time_min,soc_before_kwh,soc_after_kwh,dist_km,travel_time_min,wait_time_min,service_time_min,charge_time_min,charge_added_kwh,late,feasible_so_far
ESOGU_RC20_TW2.txt,0,start,48,48,d,39750124.0,30485116.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,travel,48,43A,c,39751072.0,30479930.0,0.0,1.5639999999999998,0.6,0.5831088,0.56304,1.5639999999999998,0.0,0.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,service,43A,43A,c,39751072.0,30479930.0,63.0,63.0,0.5831088,0.5831088,0.0,0.0,61.436,3.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,travel,43A,122,c,39749195.0,30476336.0,66.0,67.40866666666666,0.5831088,0.5678951999999999,0.50712,1.4086666666666667,0.0,0.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,service,122,122,c,39749195.0,30476336.0,67.40866666666666,67.40866666666666,0.5678951999999999,0.5678951999999999,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,travel,122,121,c,39749195.0,30474898.0,69.07533333333333,70.24763888888889,0.5678951999999999,0.5552343,0.42202999999999996,1.1723055555555555,0.0,0.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,service,121,121,c,39749195.0,30474898.0,493.0,493.0,0.5552343,0.5552343,0.0,0.0,422.7523611111111,1.6666666666666667,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,travel,121,72,c,39747793.0,30474899.0,494.6666666666667,495.30427777777777,0.5552343,0.5483481,0.22954,0.637611111111111,0.0,0.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,service,72,72,c,39747793.0,30474899.0,495.30427777777777,495.30427777777777,0.5483481,0.5483481,0.0,0.0,0.0,3.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,travel,72,73,c,39747617.0,30474902.0,498.30427777777777,498.5736944444444,0.5483481,0.5454384,0.09698999999999999,0.26941666666666664,0.0,0.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,service,73,73,c,39747617.0,30474902.0,600.0,600.0,0.5454384,0.5454384,0.0,0.0,101.42630555555559,3.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,travel,73,76,c,39747376.0,30473919.0,603.0,603.9626111111111,0.5454384,0.5350422,0.34654,0.9626111111111112,0.0,0.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,service,76,76,c,39747376.0,30473919.0,732.0,732.0,0.5350422,0.5350422,0.0,0.0,128.03738888888893,2.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,travel,76,80,c,39747092.0,30474594.0,734.0,734.4743611111111,0.5350422,0.5299191,0.17077,0.4743611111111111,0.0,0.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,service,80,80,c,39747092.0,30474594.0,734.4743611111111,734.4743611111111,0.5299191,0.5299191,0.0,0.0,0.0,2.0,0.0,0.0,0,1
ESOGU_RC20_TW2.txt,0,travel,80,22E,c,39749475.0,30489244.0,736.4743611111111,740.5349444444444,0.5299191,0.48606479999999996,1.46181,4.060583333333333,0.0,0.0,0.0,0.0,0,1
