instance,bike_id,event,from_id,to_id,node_type,lat,lon,depart_time_min,arrive_time_min,soc_before_kwh,soc_after_kwh,dist_km,travel_time_min,wait_time_min,service_time_min,charge_time_min,charge_added_kwh,late,feasible_so_far,current_load,capacity
ESOGU_RC80_TW2.txt,0,start,48,48,d,39750124.0,30485116.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,1,226.0,350.0
ESOGU_RC80_TW2.txt,0,travel,48,73,c,39747617.0,30474902.0,0.0,2.909083333333333,0.6,0.5685819,1.04727,2.909083333333333,0.0,0.0,0.0,0.0,0,1,226.0,350.0
ESOGU_RC80_TW2.txt,0,service,73,73,c,39747617.0,30474902.0,624.0,624.0,0.5685819,0.5685819,0.0,0.0,621.0909166666667,3.0,0.0,0.0,0,1,207.0,350.0
ESOGU_RC80_TW2.txt,0,travel,73,68,c,39747973.0,30474841.0,627.0,627.1773333333333,0.5685819,0.5666667,0.06384000000000001,0.17733333333333334,0.0,0.0,0.0,0.0,0,1,207.0,350.0
ESOGU_RC80_TW2.txt,0,service,68,68,c,39747973.0,30474841.0,627.1773333333333,627.1773333333333,0.5666667,0.5666667,0.0,0.0,0.0,2.0,0.0,0.0,0,1,226.0,350.0
ESOGU_RC80_TW2.txt,0,travel,68,87,c,39745797.0,30473663.0,629.1773333333333,630.3220833333334,0.5666667,0.5543034,0.41211000000000003,1.1447500000000002,0.0,0.0,0.0,0.0,0,1,226.0,350.0
ESOGU_RC80_TW2.txt,0,service,87,87,c,39745797.0,30473663.0,656.0,656.0,0.5543034,0.5543034,0.0,0.0,25.677916666666647,2.0,0.0,0.0,0,1,239.0,350.0
ESOGU_RC80_TW2.txt,0,travel,87,4,c,39751816.0,30492367.0,658.0,664.6838055555555,0.5543034,0.4821183,2.40617,6.683805555555555,0.0,0.0,0.0,0.0,0,1,239.0,350.0
ESOGU_RC80_TW2.txt,0,service,4,4,c,39751816.0,30492367.0,664.6838055555555,664.6838055555555,0.4821183,0.4821183,0.0,0.0,0.0,2.0,0.0,0.0,0,1,224.0,350.0
ESOGU_RC80_TW2.txt,0,travel,4,113,c,39753067.0,30493342.0,666.6838055555555,667.2810555555556,0.4821183,0.475668,0.21500999999999998,0.59725,0.0,0.0,0.0,0.0,0,1,224.0,350.0
ESOGU_RC80_TW2.txt,0,service,113,113,c,39753067.0,30493342.0,667.2810555555556,667.2810555555556,0.475668,0.475668,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0,1,231.0,350.0
ESOGU_RC80_TW2.txt,0,travel,113,116,c,39753847.0,30488222.0,668.9477222222222,670.5039722222222,0.475668,0.4588605,0.56025,1.55625,0.0,0.0,0.0,0.0,0,1,231.0,350.0
ESOGU_RC80_TW2.txt,0,service,116,116,c,39753847.0,30488222.0,670.5039722222222,670.5039722222222,0.4588605,0.4588605,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0,1,246.0,350.0
ESOGU_RC80_TW2.txt,0,travel,116,9,c,39751299.0,30491815.0,672.1706388888888,675.5335277777776,0.4588605,0.4225413,1.2106400000000002,3.362888888888889,0.0,0.0,0.0,0.0,0,1,246.0,350.0
ESOGU_RC80_TW2.txt,0,service,9,9,c,39751299.0,30491815.0,675.5335277777776,675.5335277777776,0.4225413,0.4225413,0.0,0.0,0.0,2.0,0.0,0.0,0,1,259.0,350.0
ESOGU_RC80_TW2.txt,0,travel,9,81,c,39747091.0,30474708.0,677.5335277777776,682.9455277777777,0.4225413,0.3640917,1.9483199999999998,5.411999999999999,0.0,0.0,0.0,0.0,0,1,259.0,350.0
ESOGU_RC80_TW2.txt,0,service,81,81,c,39747091.0,30474708.0,682.9455277777777,682.9455277777777,0.3640917,0.3640917,0.0,0.0,0.0,4.0,0.0,0.0,0,1,247.0,350.0
ESOGU_RC80_TW2.txt,0,travel,81,77,c,39747091.0,30474708.0,686.9455277777777,687.5129444444443,0.3640917,0.3579636,0.20427,0.5674166666666667,0.0,0.0,0.0,0.0,0,1,247.0,350.0
ESOGU_RC80_TW2.txt,0,service,77,77,c,39747091.0,30474708.0,740.0,740.0,0.3579636,0.3579636,0.0,0.0,52.487055555555685,2.0,0.0,0.0,0,1,229.0,350.0
